station_number, station_name, measurement_height, latitude, longitude, readings_from, readings_to, elevation
105410,Sågmyra,2,60.7004,15.3263,6/1/1985 0:00,1/31/1988 23:59,257
105450,Leksand,2,60.7256,15.0167,10/2/1993 6:00,9/30/2016 23:59,175
105550,Backa,2,60.923,15.1145,9/1/1988 0:00,9/30/1995 23:59,230
105630,Vassbo,2,60.5333,15.5333,1/1/1962 0:00,2/29/1964 23:59,120
105640,Domnarvet,2,60.5,15.45,8/1/1961 0:00,1/31/1965 23:59,128
106040,Brovallen,2,60.0991,16.3062,1/1/1991 0:00,9/30/2016 23:59,100
106060,Sonnbo,2,60.1197,16.2838,10/1/1986 0:00,12/31/1990 23:59,89
106070,Avesta,2,60.1419,16.1747,1/1/1977 0:00,9/30/2016 23:59,100
106100,Folkärna,2,60.169,16.3125,4/25/1981 0:00,1/31/1996 23:59,68
106160,Kerstinbo A,2,60.2688,16.977,8/1/1995 0:00,10/1/2016 9:00,56
106270,Stjärnsund,2,60.4551,16.2662,1/1/1961 0:00,11/30/1984 23:59,130
106360,Sandviken,2,60.6103,16.7896,12/1/1977 0:00,3/31/1987 23:59,65
106500,Vintjärn,2,60.8321,16.0581,5/18/1984 0:00,1/31/1996 23:59,348
106570,Åmot A,2,60.962,16.4311,8/1/1995 0:00,10/1/2016 9:00,162
106580,Åmotsbruk,2,60.9645,16.4631,1/1/1965 0:00,1/31/1996 23:59,145
106630,Gästrike-Hammarby IV,2,60.55,16.5833,1/1/1961 0:00,2/28/1967 23:59,70
107120,Dannemora,2,60.2026,17.9049,4/1/1963 0:00,5/31/1981 23:59,41
107130,Films Kyrkby,2,60.2357,17.9072,2/1/1982 0:00,5/9/2000 23:59,39
107140,Films Kyrkby A,2,60.2363,17.9078,5/1/2000 0:00,10/1/2016 9:00,33
107180,Väsby,2,60.3,17.4333,1/1/1962 0:00,1/31/1975 23:59,35
107270,Untra,2,60.4393,17.3409,6/1/1965 0:00,6/30/1985 23:59,35
107330,Fagerviken,2,60.542,17.7478,12/1/1966 0:00,12/31/1978 23:59,5
107400,Gävle,2,60.6537,17.1693,1/1/1958 0:00,12/31/1965 23:59,11
107420,Gävle A,2,60.7166,17.1641,8/1/1995 0:00,10/1/2016 9:00,16
